"","year","origin","asylum","population_type","population"
"115","2020","Palestinian","Syrian Arab Rep.","male_18-59",159475
"116","2020","Palestinian","Syrian Arab Rep.","male_60",34009
"117","2020","Palestinian","Syrian Arab Rep.","male_total",284679
"118","2020","Palestinian","Syrian Arab Rep.","total",568730
"119","2020","Palestinian","Syrian Arab Rep.","f_minor_all",87451
"120","2020","Palestinian","Syrian Arab Rep.","m_minor_all",91195
"121","2021","Palestinian","State of Palestine","female_0-4",107629
"122","2021","Palestinian","State of Palestine","female_5-11",179459
"123","2021","Palestinian","State of Palestine","female_12-17",145814
"124","2021","Palestinian","State of Palestine","female_18-59",618362
"125","2021","Palestinian","State of Palestine","female_60",134165
"126","2021","Palestinian","State of Palestine","female_total",1185429
"127","2021","Palestinian","State of Palestine","male_0-4",115363
"128","2021","Palestinian","State of Palestine","male_5-11",189495
"129","2021","Palestinian","State of Palestine","male_12-17",151435
"130","2021","Palestinian","State of Palestine","male_18-59",640870
"131","2021","Palestinian","State of Palestine","male_60",117616
"132","2021","Palestinian","State of Palestine","male_total",1214779
"133","2021","Palestinian","State of Palestine","total",2400208
"134","2021","Palestinian","State of Palestine","f_minor_all",432902
"135","2021","Palestinian","State of Palestine","m_minor_all",456293
"136","2021","Palestinian","Jordan","female_0-4",44731
"137","2021","Palestinian","Jordan","female_5-11",116338
"138","2021","Palestinian","Jordan","female_12-17",130166
"139","2021","Palestinian","Jordan","female_18-59",685706
"140","2021","Palestinian","Jordan","female_60",164242
"141","2021","Palestinian","Jordan","female_total",1141183
"142","2021","Palestinian","Jordan","male_0-4",47717
"143","2021","Palestinian","Jordan","male_5-11",122674
"144","2021","Palestinian","Jordan","male_12-17",135957
"145","2021","Palestinian","Jordan","male_18-59",718095
"146","2021","Palestinian","Jordan","male_60",169163
"147","2021","Palestinian","Jordan","male_total",1193606
"148","2021","Palestinian","Jordan","total",2334789
"149","2021","Palestinian","Jordan","f_minor_all",291235
"150","2021","Palestinian","Jordan","m_minor_all",306348
"151","2021","Palestinian","Lebanon","female_0-4",11438
"152","2021","Palestinian","Lebanon","female_5-11",21407
"153","2021","Palestinian","Lebanon","female_12-17",18919
"154","2021","Palestinian","Lebanon","female_18-59",141621
"155","2021","Palestinian","Lebanon","female_60",44536
"156","2021","Palestinian","Lebanon","female_total",237921
"157","2021","Palestinian","Lebanon","male_0-4",11971
"158","2021","Palestinian","Lebanon","male_5-11",22818
"159","2021","Palestinian","Lebanon","male_12-17",19882
"160","2021","Palestinian","Lebanon","male_18-59",146556
"161","2021","Palestinian","Lebanon","male_60",43528
"162","2021","Palestinian","Lebanon","male_total",244755
"163","2021","Palestinian","Lebanon","total",482676
"164","2021","Palestinian","Lebanon","f_minor_all",51764
"165","2021","Palestinian","Lebanon","m_minor_all",54671
"166","2021","Palestinian","Syrian Arab Rep.","female_0-4",19314
"167","2021","Palestinian","Syrian Arab Rep.","female_5-11",34311
"168","2021","Palestinian","Syrian Arab Rep.","female_12-17",32907
"169","2021","Palestinian","Syrian Arab Rep.","female_18-59",159910
"170","2021","Palestinian","Syrian Arab Rep.","female_60",41183
"171","2021","Palestinian","Syrian Arab Rep.","female_total",287625
"172","2021","Palestinian","Syrian Arab Rep.","male_0-4",19886
"173","2021","Palestinian","Syrian Arab Rep.","male_5-11",36174
"174","2021","Palestinian","Syrian Arab Rep.","male_12-17",34026
"175","2021","Palestinian","Syrian Arab Rep.","male_18-59",162024
"176","2021","Palestinian","Syrian Arab Rep.","male_60",35499
"177","2021","Palestinian","Syrian Arab Rep.","male_total",287609
"178","2021","Palestinian","Syrian Arab Rep.","total",575234
"179","2021","Palestinian","Syrian Arab Rep.","f_minor_all",86532
"180","2021","Palestinian","Syrian Arab Rep.","m_minor_all",90086
"181","2022","Palestinian","State of Palestine","female_0-4",108252
"182","2022","Palestinian","State of Palestine","female_5-11",178911
"183","2022","Palestinian","State of Palestine","female_12-17",150133
"184","2022","Palestinian","State of Palestine","female_18-59",633591
"185","2022","Palestinian","State of Palestine","female_60",141023
"186","2022","Palestinian","State of Palestine","female_total",1211910
"187","2022","Palestinian","State of Palestine","male_0-4",115645
"188","2022","Palestinian","State of Palestine","male_5-11",188995
"189","2022","Palestinian","State of Palestine","male_12-17",156491
"190","2022","Palestinian","State of Palestine","male_18-59",657531
"191","2022","Palestinian","State of Palestine","male_60",123686
"192","2022","Palestinian","State of Palestine","male_total",1242348
"193","2022","Palestinian","State of Palestine","total",2454258
"194","2022","Palestinian","State of Palestine","f_minor_all",437296
