Year,Country of origin,Country of asylum,Total
1992,Palestinian,State of Palestine,1055436
1993,Palestinian,Jordan,1140199
1993,Palestinian,Lebanon,334659
1993,Palestinian,Syrian Arab Rep.,321104
1993,Palestinian,State of Palestine,1117275
1994,Palestinian,Jordan,1239811
1994,Palestinian,Lebanon,342121
1994,Palestinian,Syrian Arab Rep.,332465
1994,Palestinian,State of Palestine,1178777
1995,Palestinian,Jordan,1328768
1995,Palestinian,Lebanon,349773
1995,Palestinian,Syrian Arab Rep.,342507
1995,Palestinian,State of Palestine,1224996
1996,Palestinian,Jordan,1389603
1996,Palestinian,Lebanon,356258
1996,Palestinian,Syrian Arab Rep.,352136
1996,Palestinian,State of Palestine,1270333
1997,Palestinian,Jordan,1437371
1997,Palestinian,Lebanon,362098
1997,Palestinian,Syrian Arab Rep.,361202
1997,Palestinian,State of Palestine,1308438
1998,Palestinian,Jordan,1487449
1998,Palestinian,Lebanon,367610
1998,Palestinian,Syrian Arab Rep.,370035
1998,Palestinian,State of Palestine,1348288
1999,Palestinian,Jordan,1541405
1999,Palestinian,Lebanon,373440
1999,Palestinian,Syrian Arab Rep.,378382
1999,Palestinian,State of Palestine,1384655
2000,Palestinian,Jordan,1609566
2000,Palestinian,Lebanon,380072
2000,Palestinian,Syrian Arab Rep.,387526
2000,Palestinian,State of Palestine,1428891
2001,Palestinian,Jordan,1662227
2001,Palestinian,Lebanon,384918
2001,Palestinian,Syrian Arab Rep.,396248
2001,Palestinian,State of Palestine,1483394
2002,Palestinian,Jordan,1698271
2002,Palestinian,Lebanon,389233
2002,Palestinian,Syrian Arab Rep.,405601
2002,Palestinian,State of Palestine,1532589
2003,Palestinian,Jordan,1740170
2003,Palestinian,Lebanon,394532
2003,Palestinian,Syrian Arab Rep.,413827
2003,Palestinian,State of Palestine,1587920
2004,Palestinian,Jordan,1776669
2004,Palestinian,Lebanon,399152
2004,Palestinian,Syrian Arab Rep.,421737
2004,Palestinian,State of Palestine,1634952
2005,Palestinian,Jordan,1827877
2005,Palestinian,Lebanon,404170
2005,Palestinian,Syrian Arab Rep.,432048
2005,Palestinian,State of Palestine,1685851
2006,Palestinian,Jordan,1858362
2006,Palestinian,Lebanon,408438
2006,Palestinian,Syrian Arab Rep.,442363
2006,Palestinian,State of Palestine,1739266
2007,Palestinian,Jordan,1903490
2007,Palestinian,Lebanon,413962
2007,Palestinian,Syrian Arab Rep.,451467
2007,Palestinian,State of Palestine,1793901
2008,Palestinian,Jordan,1951603
2008,Palestinian,Lebanon,422188
2008,Palestinian,Syrian Arab Rep.,461897
2008,Palestinian,State of Palestine,1836123
2009,Palestinian,Jordan,1983733
2009,Palestinian,Lebanon,425640
2009,Palestinian,Syrian Arab Rep.,472109
2009,Palestinian,State of Palestine,1885188
2010,Palestinian,Jordan,1942431
2010,Palestinian,Lebanon,430078
2010,Palestinian,Syrian Arab Rep.,476801
2010,Palestinian,State of Palestine,1841769
2011,Palestinian,Jordan,1979580
2011,Palestinian,Lebanon,436154
2011,Palestinian,Syrian Arab Rep.,486946
2011,Palestinian,State of Palestine,1895043
2012,Palestinian,Jordan,2034641
2012,Palestinian,Lebanon,441543
2012,Palestinian,Syrian Arab Rep.,499189
2012,Palestinian,State of Palestine,1944544
2013,Palestinian,Jordan,2070973
2013,Palestinian,Lebanon,447328
2013,Palestinian,Syrian Arab Rep.,517255
2013,Palestinian,State of Palestine,1994493
2014,Palestinian,Jordan,2117361
2014,Palestinian,Lebanon,452669
2014,Palestinian,Syrian Arab Rep.,528616
2014,Palestinian,State of Palestine,2051096
2015,Palestinian,Jordan,2144233
2015,Palestinian,Lebanon,458369
2015,Palestinian,Syrian Arab Rep.,534654
2015,Palestinian,State of Palestine,2104001
2016,Palestinian,Jordan,2175491
2016,Palestinian,Lebanon,463664
2016,Palestinian,Syrian Arab Rep.,543014
2016,Palestinian,State of Palestine,2158274
2017,Palestinian,Jordan,2206736
2017,Palestinian,Lebanon,469555
2017,Palestinian,Syrian Arab Rep.,551873
2017,Palestinian,State of Palestine,2214783
2018,Palestinian,Jordan,2242577
2018,Palestinian,Lebanon,475075
